elapsed_s,iters,behaviors,fingerprints,since_new_behavior,corpus_size,solver_invocations,solver_seeds
56.041,23339,5,1,23237,1,0,0
56.291,23444,5,1,23341,1,0,0
56.541,23554,5,1,23451,1,0,0
56.794,23662,5,1,23559,1,0,0
57.045,23769,5,1,23666,1,0,0
57.297,23876,5,1,23773,1,0,0
57.548,23985,5,1,23882,1,0,0
57.798,24087,5,1,23983,1,0,0
58.05,24196,5,1,24092,1,0,0
58.3,24303,5,1,24199,1,0,0
58.551,24412,5,1,24308,1,0,0
58.803,24515,5,1,24411,1,0,0
59.054,24618,5,1,24513,1,0,0
59.304,24723,5,1,24618,1,0,0
59.554,24814,5,1,24709,1,0,0
59.806,24916,5,1,24811,1,0,0
